title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped
Appartement à vendre Bourgogne,1200000,"Appartements dans Casablanca, Bourgogne",90,2,2,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_Bourgogne_57697496.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1200000
Appartement à vendre 89m² à H M Casablanca,850000,"Appartements dans Casablanca, Hay Mohammadi",89,2,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_89m%C2%B2_%C3%A0_H_M_Casablanca_55797652.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,850000
Rez de jardin à vendre 107 m² vue sur piscine,1900000,"Appartements dans Marrakech, Route de Casablanca",107,2,2,https://www.avito.ma/fr/route_de_casablanca/appartements/Rez_de_jardin_%C3%A0_vendre_107_m%C2%B2_vue_sur_piscine_57648716.htm,"Marrakech, Route de Casablanca",marrakech,route de casablanca,1900000
Appartements à vendre lotissement Al Dha.,390000,"Appartements dans Laâyoune, Toute la ville",86,2,1,https://www.avito.ma/fr/la%C3%A2youne/appartements/Appartements_%C3%A0_vendre_lotissement_Al_Dha__57697598.htm,"Laâyoune, Toute la ville",laâyoune,toute la ville,390000
Saidia AP2 - Appart de 118m² – proche du Golf,960000,"Appartements dans Saidia, Toute la ville",118,2,2,https://www.avito.ma/fr/saidia/appartements/Saidia_AP2___Appart_de_118m%C2%B2___proche_du_Golf_57775425.htm,"Saidia, Toute la ville",saidia,toute la ville,960000
"Appartement à vendre 181 m² avec terrasse, Racine",3100000,"Appartements dans Casablanca, Racine",181,3,3,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_181_m%C2%B2_avec_terrasse__Racine_57800891.htm,"Casablanca, Racine",casablanca,racine,3100000
Appartement à vendre 58 m Mdiq 4 min à pied plage,490000,"Appartements dans Mdiq, Toute la ville",58,2,1,https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_58_m_Mdiq_4_min_%C3%A0_pied_plage_57822302.htm,"Mdiq, Toute la ville",mdiq,toute la ville,490000
Appartement à vendre,950000,"Appartements dans Tanger, Centre",75,2,1,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_57799376.htm,"Tanger, Centre",tangier,centre,950000
Appartement à vendre 90 m² à Oujda,290000,"Appartements dans Oujda, Agdal",130,3,1,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Oujda_57359130.htm,"Oujda, Agdal",oujda,agdal,290000
Appartement à vendre 150 m² à Agadir,1900000,"Appartements dans Agadir, Haut-Founty",150,4,2,https://www.avito.ma/fr/haut_founty/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Agadir_57712745.htm,"Agadir, Haut-Founty",agadir,haut-founty,1900000
Appartement à vendre 124m² Roche Noire Casablanca,1050000,"Appartements dans Casablanca, Roches Noires",124,2,2,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_124m%C2%B2_Roche_Noire_Casablanca_54971172.htm,"Casablanca, Roches Noires",casablanca,roches noires,1050000
APPART 91m 2FACES vue piscine à MARBELLA BEACH,1030000,"Appartements dans Mohammedia, Autre secteur",91,2,2,https://www.avito.ma/fr/autre_secteur/appartements/APPART_91m_2FACES_vue_piscine_%C3%A0_MARBELLA_BEACH_57747136.htm,"Mohammedia, Autre secteur",mohammedia,autre secteur,1030000
Appartement 98m² chouka à vendre Fouarat Casa,950000,"Appartements dans Casablanca, Hay Mohammadi",147,3,1,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_98m%C2%B2_chouka_%C3%A0_vendre_Fouarat_Casa_56770374.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,950000
Appartement 138m² au 2ème étg au Maârif,1800000,"Appartements dans Casablanca, Maarif",138,3,3,https://www.avito.ma/fr/maarif/appartements/Appartement_138m%C2%B2_au_2%C3%A8me_%C3%A9tg_au_Ma%C3%A2rif_55941961.htm,"Casablanca, Maarif",casablanca,maarif,1800000
Appartement 1er chouka à vendre 50m² ERRAHMA Casa,350000,"Appartements dans Casablanca, Errahma",50,2,1,https://www.avito.ma/fr/errahma/appartements/Appartement_1er_chouka_%C3%A0_vendre_50m%C2%B2_ERRAHMA_Casa_56040509.htm,"Casablanca, Errahma",casablanca,errahma,350000
Appartement à vendre 71 m² à Bouznika,600000,"Appartements dans Bouznika, Autre secteur",71,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_71_m%C2%B2_%C3%A0_Bouznika_56368488.htm,"Bouznika, Autre secteur",bouznika,autre secteur,600000
vendre un joli appartement meublé avec piscine,1250000,"Appartements dans El Mansouria, Toute la ville",92,2,2,https://www.avito.ma/fr/el_mansouria/appartements/%C3%80_vendre_un_joli_appartement_meubl%C3%A9_avec_piscine_56846634.htm,"El Mansouria, Toute la ville",el mansouria,toute la ville,1250000
Appartement à vendre 110 m2 à Saïdia,750000,"Appartements dans Saidia, Toute la ville",110,2,1,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_110_m2_%C3%A0_Sa%C3%AFdia_57839494.htm,"Saidia, Toute la ville",saidia,toute la ville,750000
Appartement à vendre 134 m² à Tanger,2546000,"Appartements dans Tanger, De La Plage",134,3,2,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Tanger_56300463.htm,"Tanger, De La Plage",tangier,de la plage,2546000
Appartement à vendre 80m2 à Saïdia,590000,"Appartements dans Saidia, Toute la ville",80,2,2,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_80m2_%C3%A0_Sa%C3%AFdia_57839472.htm,"Saidia, Toute la ville",saidia,toute la ville,590000
Aptmts neuf à hay riyad,3400000,"Appartements dans Rabat, Hay Riad",120,3,1,https://www.avito.ma/fr/hay_riad/appartements/Aptmts_neuf_%C3%A0_hay_riyad_57457147.htm,"Rabat, Hay Riad",rabat,hay riad,3280000
Appartement à vendre 95 m² à Marrakech palmeraie,1500000,"Appartements dans Marrakech, Palmeraie",95,2,2,https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm,"Marrakech, Palmeraie",marrakech,palmeraie,1500000
A vendre un appartement avec terrasse,3750000,"Appartements dans Casablanca, Racine",190,4,3,https://www.avito.ma/fr/racine/appartements/A_vendre_un_appartement_avec_terrasse_57516868.htm,"Casablanca, Racine",casablanca,racine,3280000
Appartement 165m² RDC à vendre 2 Mars Casablanca,1540000,"Appartements dans Casablanca, 2 Mars",35,4,2,https://www.avito.ma/fr/2_mars/appartements/Appartement_165m%C2%B2__RDC_%C3%A0_vendre__2_Mars_Casablanca_56040548.htm,"Casablanca, 2 Mars",casablanca,2 mars,1540000
Super Appartement Vue sur Mer à Dar Bouazza,2390000,"Appartements dans Dar Bouazza, Toute la ville",132,3,2,https://www.avito.ma/fr/dar_bouazza/appartements/Super_Appartement_Vue_sur_Mer_%C3%A0_Dar_Bouazza_57692835.htm,"Dar Bouazza, Toute la ville",dar bouazza,toute la ville,2390000
Appartement à vendre 61 m² à Meknès,380000,"Appartements dans Meknès, Autre secteur",64,3,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Mekn%C3%A8s_57198863.htm,"Meknès, Autre secteur",meknès,autre secteur,380000
Appartement 95m2 vendables -Palmier,1750000,"Appartements dans Casablanca, Palmier",95,2,2,https://www.avito.ma/fr/palmier/appartements/Appartement_95m2_vendables__Palmier_57820947.htm,"Casablanca, Palmier",casablanca,palmier,1750000
🌿 Appartement d’exception à vendre à Achakar,2800000,"Appartements dans Tanger, Achakar",165,2,2,https://www.avito.ma/fr/achakar/appartements/___Appartement_d_exception_%C3%A0_vendre_%C3%A0_Achakar__57717771.htm,"Tanger, Achakar",tangier,achakar,2800000
Appartement à vendre à Tétouan Chebar,580000,"Appartements dans Martil, Toute la ville",80,2,1,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_%C3%A0_T%C3%A9touan_Chebar_57839437.htm,"Martil, Toute la ville",martil,toute la ville,580000
vendre appartement 3 CH avec terrasse de 44m2,2350000,"Appartements dans Casablanca, Ferme Bretone",144,3,3,https://www.avito.ma/fr/ferme_bretone/appartements/%C3%80_vendre_appartement_3_CH_avec_terrasse_de_44m2_57406538.htm,"Casablanca, Ferme Bretone",casablanca,ferme bretone,2350000
Appartement à à Plage des Nations,2500000,"Appartements dans Sidi Bouknadel, Toute la ville",98,2,2,https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_%C3%A0_Plage_des_Nations_57513939.htm,"Sidi Bouknadel, Toute la ville",sidi bouknadel,toute la ville,2500000
Super Appartement neuf à vendre H M Casa,920000,"Appartements dans Casablanca, Hay Mohammadi",92,2,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Super_Appartement_neuf_%C3%A0_vendre_H_M_Casa_56729735.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,920000
Appartement 120m² Chouka à vendre à Casablanca.,1080000,"Appartements dans Casablanca, Hay Mohammadi",120,3,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_120m%C2%B2_Chouka_%C3%A0_vendre_%C3%A0_Casablanca__56464823.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,1080000
Joli Appartement 1er Etage Mhamid 7,410000,"Appartements dans Marrakech, M'Hamid",57,2,1,https://www.avito.ma/fr/m_hamid/appartements/Joli_Appartement_1er_Etage_Mhamid_7_57133912.htm,"Marrakech, M'Hamid",marrakech,m'hamid,410000
"🌊 appartement vue mer en face, sans vis-à-vis",1600000,"Appartements dans Agadir, Anza",80,2,2,https://www.avito.ma/fr/anza/appartements/___appartement_vue_mer_en_face__sans_vis_%C3%A0_vis_56936072.htm,"Agadir, Anza",agadir,anza,1600000
Rez-de-jardin à vendre 128 m² 20 m² jardin,2100000,"Appartements dans Rabat, Souissi",148,3,2,https://www.avito.ma/fr/souissi/appartements/Rez_de_jardin_%C3%A0_vendre_128_m%C2%B2_20_m%C2%B2_jardin_57302278.htm,"Rabat, Souissi",rabat,souissi,2100000
🏠Appartement duplex 174m2 à vendre HM Casa🏠,1000000,"Appartements dans Casablanca, Hay Mohammadi",174,5,2,https://www.avito.ma/fr/hay_mohammadi/appartements/__Appartement_duplex_174m2_%C3%A0_vendre_HM_Casa___57631189.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,1000000
Appartement 57 m² – 6e étage – Triple Tower,1500000,"Appartements dans Tanger, Malabata",57,2,1,https://www.avito.ma/fr/malabata/appartements/Appartement_57_m%C2%B2___6e_%C3%A9tage___Triple_Tower_57779089.htm,"Tanger, Malabata",tangier,malabata,1500000
Appartement à vendre 47 m Mdiq 4 min à pied plage,380000,"Appartements dans Mdiq, Toute la ville",50,1,1,https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_47_m_Mdiq_4_min_%C3%A0_pied_plage_57822212.htm,"Mdiq, Toute la ville",mdiq,toute la ville,380000
Appartement ain mezouar base militaire,520000,"Appartements dans Marrakech, Ain Mezouar",62,2,1,https://www.avito.ma/fr/ain_mezouar/appartements/Appartement_ain_mezouar_base_militaire_57839264.htm,"Marrakech, Ain Mezouar",marrakech,ain mezouar,520000
Appartement à vendre 120 m² à Mosquée houda,1170000,"Appartements dans Temara, Hoda",120,3,2,https://www.avito.ma/fr/hoda/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Mosqu%C3%A9e_houda_57839257.htm,"Temara, Hoda",temara,hoda,1170000
Appartement 85m² à Sidi Bernoussi Casa.,740000,"Appartements dans Casablanca, Sidi Bernoussi",85,3,2,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_85m%C2%B2_%C3%A0_Sidi_Bernoussi_Casa__53160051.htm,"Casablanca, Sidi Bernoussi",casablanca,sidi bernoussi,740000
Appartement Tanger Balia,620000,"Appartements dans Tanger, Tanja Balia",78,2,1,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_Tanger_Balia_55043962.htm,"Tanger, Tanja Balia",tangier,tanja balia,620000
CMN-SI-1877 - Appartement à vendre à Bourgogne Est,1050000,"Appartements dans Casablanca, Bourgogne",76,2,1,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1877___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57328148.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1050000
Magnifique Appartement à vendre 77 m² à Marrakech,1078000,"Appartements dans Marrakech, Hay Izdihar",77,2,2,https://www.avito.ma/fr/hay_izdihar/appartements/Magnifique_Appartement_%C3%A0_vendre_77_m%C2%B2_%C3%A0_Marrakech_57790009.htm,"Marrakech, Hay Izdihar",marrakech,hay izdihar,1078000
CMN-MA-2470 - Appartement à vendre à Les Hôpitaux,1450000,"Appartements dans Casablanca, Quartier des Hôpitaux",117,3,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/CMN_MA_2470___Appartement_%C3%A0_vendre_%C3%A0_Les_H%C3%B4pitaux_57340348.htm,"Casablanca, Quartier des Hôpitaux",casablanca,quartier des hôpitaux,1450000
Appartement 87 m² en vente à Ayn Amir à Fès,560000,"Appartements dans Fès, Ain Amiyer",87,2,1,https://www.avito.ma/fr/ain_amiyer/appartements/Appartement_87_m%C2%B2_en_vente_%C3%A0_Ayn_Amir_%C3%A0_F%C3%A8s_57642542.htm,"Fès, Ain Amiyer",fès,ain amiyer,560000
🏢 À VENDRE – Appartement à Val Fleuri (Casa),1650000,"Appartements dans Casablanca, Val Fleuri",128,3,2,https://www.avito.ma/fr/val_fleuri/appartements/___%C3%80_VENDRE___Appartement_%C3%A0_Val_Fleuri__Casa__57753874.htm,"Casablanca, Val Fleuri",casablanca,val fleuri,1650000
Superbe appartement meublé à vendre en centre-ville,1180000,"Appartements dans Tanger, Centre",58,2,2,https://www.avito.ma/fr/centre/appartements/Superbe_appartement_meubl%C3%A9_%C3%A0_vendre_en_centre_ville_57030966.htm,"Tanger, Centre",tangier,centre,1180000
Appartement de 3 chambres à vendre près de la station El Jadida Hrarryine,750000,"Appartements dans Tanger, Aharrarine",80,3,2,https://www.avito.ma/fr/aharrarine/appartements/Appartement_de_3_chambres_%C3%A0_vendre_pr%C3%A8s_de_la_station_El_Jadida_Hrarryine_57029815.htm,"Tanger, Aharrarine",tangier,aharrarine,750000
Joli appartement ensoleillé,1100000,"Appartements dans Marrakech, Guéliz",71,2,2,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Joli_appartement_ensoleill%C3%A9__57523775.htm,"Marrakech, Guéliz",marrakech,guéliz,1100000
Appartement à vendre à Résidence tahra,570000,"Appartements dans Mohammedia, El Alia",82,2,1,https://www.avito.ma/fr/el_alia/appartements/Appartement_%C3%A0_vendre_%C3%A0_R%C3%A9sidence_tahra_57814915.htm,"Mohammedia, El Alia",mohammedia,el alia,570000
Bel appartement de 90 m² lotissement alliance,620000,"Appartements dans Kénitra, alliance",90,2,2,https://www.avito.ma/fr/alliance/appartements/Bel_appartement_de_90_m%C2%B2_lotissement_alliance_57398679.htm,"Kénitra, alliance",kénitra,alliance,620000
Appartement Duplex à vendre 154 m² à Casablanca,1000000,"Appartements dans Casablanca, Hay Mohammadi",174,4,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_Duplex_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Casablanca_54390927.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,1000000
Appartement Lux 69m,500000,"Appartements dans Had Soualem, Toute la ville",69,2,2,https://www.avito.ma/fr/had_soualem/appartements/Appartement_Lux_69m_47242927.htm,"Had Soualem, Toute la ville",had soualem,toute la ville,500000
Appartement à vendre 90 m² à lotissement alliance,640000,"Appartements dans Kénitra, alliance",90,2,1,https://www.avito.ma/fr/alliance/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_lotissement_alliance_57399192.htm,"Kénitra, alliance",kénitra,alliance,640000
Appartement à vendre 96 m² à Marrakech,1350000,"Appartements dans Marrakech, Hay Izdihar",100,2,2,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Marrakech_57814917.htm,"Marrakech, Hay Izdihar",marrakech,hay izdihar,1350000
Appartement à vendre à Mdiq,860000,"Appartements dans Mdiq, Toute la ville",155,2,2,https://www.avito.ma/fr/mdiq/appartements/Appartement_%C3%A0_vendre_%C3%A0_Mdiq_54821467.htm,"Mdiq, Toute la ville",mdiq,toute la ville,860000
Appartement avec cour à Bouznika,710000,"Appartements dans Bouznika, Autre secteur",108,2,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_avec_cour_%C3%A0_Bouznika_44799287.htm,"Bouznika, Autre secteur",bouznika,autre secteur,710000
Appartement rénové neuf à la Gironde,940000,"Appartements dans Casablanca, La Gironde",80,2,2,https://www.avito.ma/fr/la_gironde/appartements/Appartement_r%C3%A9nov%C3%A9_neuf_%C3%A0_la_Gironde_57717329.htm,"Casablanca, La Gironde",casablanca,la gironde,940000
Appartement à vendre 65 m² à Marrakech,700000,"Appartements dans Marrakech, Hay Targa",65,3,2,https://www.avito.ma/fr/hay_targa/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Marrakech_57585168.htm,"Marrakech, Hay Targa",marrakech,hay targa,700000
Superbe Appartement à vendre 75 m² à Marrakech,1050000,"Appartements dans Marrakech, Hay Izdihar",75,2,2,https://www.avito.ma/fr/hay_izdihar/appartements/Superbe_Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Marrakech_57790073.htm,"Marrakech, Hay Izdihar",marrakech,hay izdihar,1050000
Appartement à vendre 63 m² à Sidi Rahal,480000,"Appartements dans Sidi Rahal, Toute la ville",63,2,1,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Sidi_Rahal_57776726.htm,"Sidi Rahal, Toute la ville",sidi rahal,toute la ville,480000
Appartement meublé à vendre sur la route Ain Chkef Riyad Yasmin,400000,"Appartements dans Fès, Route Ain Chkaf",84,2,2,https://www.avito.ma/fr/route_ain_chkaf/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_sur_la_route_Ain_Chkef_Riyad_Yasmin_57050912.htm,"Fès, Route Ain Chkaf",fès,route ain chkaf,400000
Appartement à vendre 90 m² à Kénitra bir rami,560000,"Appartements dans Kénitra, Bir Rami",90,3,1,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_bir_rami_57770603.htm,"Kénitra, Bir Rami",kénitra,bir rami,560000
Appartement à vendre à Mghogha – Tanger,230000,"Appartements dans Tanger, Mghogha",45,1,1,https://www.avito.ma/fr/mghogha/appartements/Appartement_%C3%A0_vendre_%C3%A0_Mghogha___Tanger_57745830.htm,"Tanger, Mghogha",tangier,mghogha,230000
Appartement à vendre 170 m² à Rabat,3450000,"Appartements dans Rabat, Hay Riad",170,3,2,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Rabat_57833782.htm,"Rabat, Hay Riad",rabat,hay riad,3280000
CMN-AN-1884 - Appartement à vendre à Bourgogne,1300000,"Appartements dans Casablanca, Bourgogne",80,2,1,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1884___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_57370097.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1300000
CMN-SI-1879 - Appartement à vendre à Ziraoui,3480000,"Appartements dans Casablanca, Bourgogne",260,3,2,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1879___Appartement_%C3%A0_vendre_%C3%A0_Ziraoui_57331613.htm,"Casablanca, Bourgogne",casablanca,bourgogne,3280000
Appartement à vendre 180 m² à Casablanca,2700000,"Appartements dans Casablanca, Maarif",200,4,3,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_180_m%C2%B2_%C3%A0_Casablanca_57839155.htm,"Casablanca, Maarif",casablanca,maarif,2700000
Appartement à vendre 120m² H Mohammadi Casablanca,850000,"Appartements dans Casablanca, Hay Mohammadi",120,2,1,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_120m%C2%B2_H_Mohammadi_Casablanca_57309014.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,850000
Élégant Studio à vendre 63 m² à Marrakech,1134000,"Appartements dans Marrakech, Guéliz",63,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/%C3%89l%C3%A9gant_Studio_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Marrakech_57765732.htm,"Marrakech, Guéliz",marrakech,guéliz,1134000
D’UN BEL APPARTEMENT DE 117M2,1900000,"Appartements dans Casablanca, Les Princesses",117,3,2,https://www.avito.ma/fr/les_princesses/appartements/VENTE_D_UN_BEL_APPARTEMENT_DE_117M2_56886880.htm,"Casablanca, Les Princesses",casablanca,les princesses,1900000
Appartement 236m² à Gauthier Consulat d'Italie,3200000,"Appartements dans Casablanca, Gauthier",272,4,3,https://www.avito.ma/fr/gauthier/appartements/Appartement_236m%C2%B2_%C3%A0_Gauthier_Consulat_d_Italie_56634956.htm,"Casablanca, Gauthier",casablanca,gauthier,3200000
Appartement à vendre 78 m² à Deroua,460000,"Appartements dans Deroua, Toute la ville",78,2,1,https://www.avito.ma/fr/deroua/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Deroua_57721736.htm,"Deroua, Toute la ville",deroua,toute la ville,460000
Appartement à vendre 134 m² à Casablanca,3000000,"Appartements dans Casablanca, Racine",154,3,3,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Casablanca_57789942.htm,"Casablanca, Racine",casablanca,racine,3000000
Bel appartement... orientation sud,2150000,"Appartements dans Casablanca, Les Princesses",165,3,2,https://www.avito.ma/fr/les_princesses/appartements/Bel_appartement____orientation_sud_56943177.htm,"Casablanca, Les Princesses",casablanca,les princesses,2150000
Appartement en face de la plage 72 m² à Martil.,1200000,"Appartements dans Martil, Toute la ville",72,2,1,https://www.avito.ma/fr/martil/appartements/Appartement_en_face_de_la_plage_72_m%C2%B2_%C3%A0_Martil__56700135.htm,"Martil, Toute la ville",martil,toute la ville,1200000
Appartement à vendre 176 m² à Tanger,3500000,"Appartements dans Tanger, Administratif",176,4,2,https://www.avito.ma/fr/administratif/appartements/Appartement_%C3%A0_vendre_176_m%C2%B2_%C3%A0_Tanger_57778075.htm,"Tanger, Administratif",tangier,administratif,3280000
Appartements à vendre,2432000,"Appartements dans Agadir, Haut-Founty",128,3,3,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57804375.htm,"Agadir, Haut-Founty",agadir,haut-founty,2432000
Appartement à vendre 78 m² à Marrakech,1800000,"Appartements dans Marrakech, Agdal",118,2,2,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Marrakech_56438709.htm,"Marrakech, Agdal",marrakech,agdal,1800000
